sample_id,material,SiO2,TiO2,Al2O3,FeO,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,method
KNO0115-004-006,GL,,,,8.3,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-005-001,GL,,,,,,9.44,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-005-001,GL,,,,,,9.45,,9.51,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-005-001,GL,,,,7.85,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-006-012,GL,,,,,,9.88,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-006-012,GL,,,,,,9.83,,8.66,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-006-012,GL,,,,8.17,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-007-002,GL,,,,,,9.1,,9.1,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-007-002,GL,,,,7.4,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-008-008,GL,,,,,,10.26,,8.13,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-008-008,GL,,,,8.7,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-010,GL,,,,,,10.29,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-010,GL,,,,,,10.1,,8.25,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-010,GL,,,,8.56,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-011-002B,GL,,,,,,11.2,,8.2,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-011-002B,GL,,,,9.39,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-014,GL,,,,,,11,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-014,GL,,,,,,10.96,,7.6,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-014,GL,,,,9.26,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-017-005,GL,,,,,,10.38,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-017-005,GL,,,,,,10.39,,8.73,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-017-005,GL,,,,8.68,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-018-008,GL,,,,,,10.65,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-018-008,GL,,,,,,10.54,,9.42,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-018-008,GL,,,,8.89,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-001-002,GL,,,,,9.86,,,,,,,,,,,,,,,,,,,,,EMP(1788)
KNO0115-001-002,GL,,,,9.14,,,,,,,,,,,,,,,,,,,,,,SP-PH(1789)
KNO0115-001-004,GL,,,,,8.63,,,,,,,,,,,,,,,,,,,,,EMP(1788)
KNO0115-001-004,GL,,,,8.08,,,,,,,,,,,,,,,,,,,,,,SP-PH(1789)
KNO0115-002-012,GL,,,,,9.24,,,,,,,,,,,,,,,,,,,,,EMP(1788)
KNO0115-002-012,GL,,,,8.52,,,,,,,,,,,,,,,,,,,,,,SP-PH(1789)
KNO0115-003-001,GL,,,,,9.55,,,,,,,,,,,,,,,,,,,,,EMP(1788)
KNO0115-003-001,GL,,,,8.78,,,,,,,,,,,,,,,,,,,,,,SP-PH(1789)
KNO0115-004-006,GL,,,,,9.01,,,,,,,,,,,,,,,,,,,,,EMP(1788)
KNO0115-004-006,GL,,,,8.3,,,,,,,,,,,,,,,,,,,,,,SP-PH(1789)
KNO0115-006-012,GL,,,,,8.99,,,,,,,,,,,,,,,,,,,,,EMP(1788)
KNO0115-006-012,GL,,,,8.17,,,,,,,,,,,,,,,,,,,,,,SP-PH(1789)
KNO0115-010,GL,,,,,9.31,,,,,,,,,,,,,,,,,,,,,EMP(1788)
KNO0115-010,GL,,,,8.56,,,,,,,,,,,,,,,,,,,,,,SP-PH(1789)
KNO0115-014,GL,,,,,9.82,,,,,,,,,,,,,,,,,,,,,EMP(1788)
KNO0115-014,GL,,,,9.26,,,,,,,,,,,,,,,,,,,,,,SP-PH(1789)
KNO0115-001-001,GL,,,,,,,,,,,,,,,,11.39,4.12,,,,,,,,0.412,MS-ID(3212)
KNO0115-005-001,GL,,,,,,,,,,,,,,,,6.63,2.57,,,,,,,,0.325,MS-ID(3212)
KNO0115-007-002,GL,,,,,,,,,,,,,,,,5.97,2.34,,,,,,,,0.281,MS-ID(3212)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results from PETDB http://petdb.ldeo.columbia.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Date,5/10/2002,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Criteria,"Sample name contains ""TK""",,,,,,,,,,,,,,,,,,,,,,,,,,
