Sample_ID,Material,SiO2,TiO2,Al2O3,FeO,Cr2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,87Sr/86Sr,143Nd/144Nd,epsilon Nd,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,176Hf/177Hf,epsilon Hf,He,3He,4He,3He/4He,4He/3He,3He/4He(R/Ra),La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Cs,Hf,Nb,Ni,Pb,Rb,Sc,Sr,Ta,Th,U,Y,Zr,Age,Latitude,Longitude,Elevation,Depth,Tectonic,Rock,Expedition,Reference,Method,Sample_ID.1,Material.1,Elevation_km
SHK0467-011,WR,48.68,1.64,15.4,10.57,,0.16,7.44,10.1,3.93,0.08,0.16,2.05,,0.51,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,0.14,,36.82,112.15,,-32.63,57.18,,,FRACTURE_ZONE,"IVM, igneous:volcanic:mafic",SHINKAI 6500 D467 ,"COOGAN, 2004",,SHK0467-011,WR,
DUF0034-006,WR,48.7,1.45,16.77,9.31,,0.19,6.72,11.51,2.34,0.16,0.18,0.91,0.7,0.51,8.23,18.37,15.5,38.07,0.28,15.45,,,,,,,7.03,17.9,2.64,13,4.01,1.37,5.24,0.91,6.04,1.26,3.64,0.55,3.41,0.52,52.9,248,0.04,2.88,7.32,85,0.7,3.08,31,,,0.67,0.17,34.2,117,,-44.18,38.8,-2190,2190,SPREADING_CENTER, ,MD34 ,"LE ROEX, 1989; CHAUVEL, 2001; JANNEY, 2005",,DUF0034-006,WR,-2.19
VEM0033-1-003-004,GL,48.73,1.61,15.43,9.6,,0.17,8.03,11.69,2.9,0.13,0.18,,0.7,0.51,8.51,19,15.61,38.47,,,,,,,,,,,,12.2,3.8,,,,,,,,,,,,,,,,,0.59,,178,,,,,,,-50.42,135.09,-2910,2910,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",V3301 ,"KLEIN, 1988; KLEIN, 1991; WALLACE, 1992; MELSON, 2003",,VEM0033-1-003-004,GL,-2.91
REVDR04-022-I,GL,48.74,1.17,15.04,9.9,,0.19,8.27,13.22,2.76,0.05,0.08,,,,,,,,,,,,,,84033.61,8.5,1.82,6.59,1.33,7.7,3.04,1.17,4.15,0.78,5.15,1.14,3.27,0.48,3,0.45,6.61,366,,1.96,1.09,76,0.29,0.52,55.7,106,0.07,0.07,0.01,31.7,70.7,,0.38,-89.86,-848,848,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",DRIFT04 ,"HARPP, 2003",EMP; ICPMS,REVDR04-022-I,GL,-0.848
OCE0180-005-001,GL,48.78,0.94,16.82,8.72,,0.16,9.57,12.01,2.23,0.03,0.08,,,0.51,8.91,,,,0.28,16.9,,,,,,,1.1,3.73,0.71,4.87,1.79,0.81,3.13,0.56,,0.88,,,2.6,0.3,2.18,,,1.25,,,,,,,,0.05,0.02,,,,27,-44.48,-3780,3780,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",OC180 ,"SALTERS, 1996; AREVALO JR, 2008",MS; MS-ID; LA-ICPMS; EMP,OCE0180-005-001,GL,-3.78
EWI0004-073-001,GL,48.79,0.92,17.12,9.31,,0.18,9.29,12.32,2.27,0.07,0.06,,,,,,,,,,,,,,95492.74,7.48,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,2.3,-95.7,-2883,2883,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW0004 ,"CUSHMAN, 2004; GRAHAM, 2007",EMP; MS,EWI0004-073-001,GL,-2.883
VEM0033-2-011-006,GL,48.81,1.04,17.08,8.24,,0.15,9.22,11.28,3.02,0.08,0.11,,0.7,0.51,7.86,17.94,15.41,37.74,,,,,,,,,,,,7.49,2.54,,,,,,,,,,,,,,,,,0.75,,148,,,,,,,-49.86,118,-3733,3733,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",V3302 ,"KLEIN, 1988; KLEIN, 1991; WALLACE, 1992; MELSON, 2003",,VEM0033-2-011-006,GL,-3.733
GIMNAUT-DR04-004,GL,48.82,1.11,17.41,9.73,,0.17,8.35,11.62,2.92,0.05,0.07,,0.7,0.51,5.79,18.58,15.55,38.53,,,,,,,,,2.09,7.12,1.31,7.21,2.58,1.02,3.54,0.66,4.44,0.98,2.85,,2.7,0.41,5.1,,0.01,1.89,0.96,,0.45,0.42,,138,0.08,0.09,0.02,28,74,,-19.68,65.77,,,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",GIMNAUT2000C ,"NAURET, 2006",,GIMNAUT-DR04-004,GL,
DUF0107-026-001,WR,48.82,0.91,17.58,,,0.17,9.52,10.27,3.23,0.06,0.15,,0.7,0.51,8.13,17.99,15.49,37.98,0.28,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.7,61.93,-4650,4650,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",MD107 (EDUL) ,"MEYZEN, 2005; BEZOS, 2005",,DUF0107-026-001,WR,-4.65
REVDR04-023-B,GL,48.83,1.24,14.6,10.37,,0.18,7.71,12.92,2.82,0.05,0.09,,,,,,,,,,,,,,87966.22,8.12,1.72,6.03,1.21,7.11,2.87,1.11,4.01,0.77,5.08,1.13,3.25,0.48,2.99,0.44,7.43,215,,1.84,1.11,69.5,0.25,0.52,53.7,95.8,0.07,0.07,0.01,31.6,63.7,,0.49,-89.83,-2257,2257,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",DRIFT04 ,"HARPP, 2003",EMP; ICPMS,REVDR04-023-B,GL,-2.257
